reviewer_name,review_time_diff,review_rating
dglater,"< 10 days",bad
drakinLA,"< 10 days",bad
msadd,"> 50 days",neutral
jbondOO7,"< 10 days",bad
jbond007,"< 10 days",good
RM,"11 to 50 days",bad
jnschmidt,"< 10 days",bad
WWungwattana,"< 10 days",bad
Gibbleo,"< 10 days",bad
er03p,"< 10 days",bad
randy48,"> 50 days",good
Twistid26,"< 10 days",good
strangeduck,"< 10 days",good
Loretha,"< 10 days",bad
gremwreper,"< 10 days",good
antioch,"> 50 days",good
siryoink,"< 10 days",good
hawthor,"< 10 days",good
BDnacho,"< 10 days",good
dew912,"< 10 days",bad
morningcalm,"< 10 days",good
andyp2002,"< 10 days",good
SVTSnake,"< 10 days",bad
hitzman,"> 50 days",good
maint2002,"< 10 days",good
jimbojonez,"< 10 days",good
rugby48,"< 10 days",bad
fgzfgz,"> 50 days",bad
justatadbad,"< 10 days",good
truthful,"< 10 days",bad
ntruax,"11 to 50 days",bad
CJBrook,"< 10 days",bad
onilollaig,"11 to 50 days",bad
"big papa","< 10 days",bad
Rehana,"< 10 days",NULL
andrew58,"< 10 days",bad
paliconsumer,"< 10 days",bad
nelly,"< 10 days",bad
raggginCA,"< 10 days",bad
Cashver,"< 10 days",good
Umzack,"< 10 days",good
Estem,"< 10 days",good
Kinage,"< 10 days",good
Sleppmor,"< 10 days",good
Nygaret,"< 10 days",good
Depdeg,"< 10 days",good
OldWiseOne,"< 10 days",bad
"Harold Battarbee","< 10 days",NULL
drchrishall,"< 10 days",bad
Bains,"< 10 days",bad
lmtilley,"< 10 days",bad
robair,"< 10 days",bad
boxerguy,"< 10 days",good
randychoy,"< 10 days",bad
simonweird,"< 10 days",bad
curioususer,"< 10 days",good
dpgraves,"11 to 50 days",bad
porterjim3,"< 10 days",good
"123 sucks","< 10 days",bad
michbow,"< 10 days",bad
Yaz8,"< 10 days",bad
mwbrown42,"< 10 days",bad
Alebelu,"< 10 days",good
mlk89119,"< 10 days",bad
FSUis1,"< 10 days",bad
Darem,"11 to 50 days",good
Arkin,"< 10 days",good
bigrederik,"< 10 days",bad
NattyLight,"< 10 days",bad
Kimor,"< 10 days",good
blupofol,"< 10 days",bad
metnak,"< 10 days",good
touretes,"< 10 days",good
cchat1,"< 10 days",bad
Mr.Matt,"< 10 days",bad
pooishrk,"< 10 days",bad
luisito,"< 10 days",good
avguru,"< 10 days",bad
bgb1996,"< 10 days",bad
mrsmorant06,"< 10 days",bad
v10tdi,"< 10 days",bad
Cenoura,"< 10 days",good
JDoobs,"< 10 days",bad
g85349,"> 50 days",bad
cucara,"< 10 days",good
chapetes,"< 10 days",good
gargeya,"< 10 days",good
akanksha,"< 10 days",good
roforulez,"< 10 days",good
mantaz,"< 10 days",good
BellaGucci,"< 10 days",good
Nicaroo,"< 10 days",good
djstang02,"< 10 days",bad
dce,"< 10 days",bad
kowland,"< 10 days",NULL
ljmrocha,"< 10 days",bad
ravellin,"< 10 days",bad
timba518,"< 10 days",good
Skip1,"< 10 days",bad
diverdon,"< 10 days",bad
ahmedsalahhammad,"> 50 days",good
oldhair,"< 10 days",bad
pal.nifty,"< 10 days",good
Oca,"< 10 days",bad
malamas88,"< 10 days",good
MStroock,"< 10 days",bad
ariflet,"< 10 days",good
cball999,"< 10 days",good
rox008,"< 10 days",good
JasonPAtkins,"< 10 days",bad
sebastianscott,"< 10 days",good
georgiagold,"< 10 days",good
alumrauch,"< 10 days",good
"john lee","< 10 days",good
battery888,"< 10 days",good
shpuntov,"< 10 days",bad
sportsnut,"< 10 days",good
"Richard McDaniel","< 10 days",good
larsonchronicle,"< 10 days",good
csminva,"< 10 days",good
cbdenver,"< 10 days",good
jayreynolds,"> 50 days",good
stinger608,"> 50 days",good
Ferdy666,"> 50 days",good
Toneman,"> 50 days",good
madracki,"< 10 days",good
k9_tech,"< 10 days",good
jertschub,"> 50 days",bad
andypayne,"< 10 days",NULL
zornot,"> 50 days",good
Hanszoo,"< 10 days",bad
napdynamite,"11 to 50 days",good
walletless,"< 10 days",good
JenBrown057,"< 10 days",bad
detnorske,"< 10 days",bad
Janardan,"< 10 days",bad
fredlord,"> 50 days",good
1RRC,"< 10 days",good
Jewduh,"< 10 days",bad
egears,"< 10 days",good
ebourn,"< 10 days",good
kumnikhil,"< 10 days",good
"Raymond Taylor","< 10 days",good
davebar,"< 10 days",good
illostraight,"< 10 days",good
Stitch626,"11 to 50 days",good
jetlagged,"< 10 days",good
paulvdm,"< 10 days",good
Fxh8,"< 10 days",bad
110220volts,"> 50 days",good
rgues2,"< 10 days",good
rozmerjj,"< 10 days",bad
kukrejap,"< 10 days",good
gbarakov,"< 10 days",good
Bob_Flora,"> 50 days",good
jazi5277,"< 10 days",good
joker35,"< 10 days",good
bbwos1127,"< 10 days",good
IddiKlu,"< 10 days",good
niko27,"< 10 days",good
jlburke33,"< 10 days",bad
nsoltz,"> 50 days",good
miinbox04,"< 10 days",good
philcozz,"< 10 days",good
kmuzingo,"< 10 days",bad
mclarry,"< 10 days",good
Mandrake99,"< 10 days",good
philipx99,"< 10 days",good
idimnaku,"< 10 days",bad
bigsig2,"11 to 50 days",good
gdewet,"> 50 days",bad
class1paradox,"< 10 days",good
"Tricky Ricky","< 10 days",good
drdance,"< 10 days",good
tuxbook,"< 10 days",good
Sunrisenyc,"< 10 days",good
sndnc9,"< 10 days",bad
vsvetov,"< 10 days",bad
ravivenkatesh,"< 10 days",good
wdiwdi,"< 10 days",good
lesham,"11 to 50 days",good
picodeau,"11 to 50 days",good
stretcher,"11 to 50 days",good
gutter007,"< 10 days",bad
sidevinder,"< 10 days",good
thorel,"< 10 days",good
vf.turner,"< 10 days",good
gregnc,"> 50 days",good
donbostrom,"< 10 days",good
kvv,"< 10 days",good
shealys,"< 10 days",good
d80d80,"< 10 days",bad
jkw2007,"< 10 days",good
catbux,"< 10 days",bad
omoelegba,"< 10 days",good
Infan,"< 10 days",bad
kkaylynne,"< 10 days",bad
gallde,"< 10 days",good
kishdog,"11 to 50 days",good
doogolplex,"< 10 days",bad
dustinal,"< 10 days",good
ilkerk,"< 10 days",good
pnewton100,"< 10 days",bad
JTP22,"< 10 days",good
guille2000,"11 to 50 days",good
megritz,"< 10 days",bad
kneller,"< 10 days",bad
ailkader,"< 10 days",good
"GreatDane 711","11 to 50 days",good
LukasD,"< 10 days",bad
nabiggs,"< 10 days",good
sargiriou,"< 10 days",good
hirschma,"> 50 days",good
ACupACdown,"< 10 days",good
mariahbay,"< 10 days",good
KMick,"< 10 days",good
bdatta1981,"11 to 50 days",good
nandu747,"< 10 days",bad
BigCompany,"< 10 days",good
fcjdenton,"< 10 days",good
Mamamarch,"< 10 days",good
Claus,"< 10 days",good
szikszak1,"< 10 days",bad
denawardell,"< 10 days",good
Jeffreyjet01,"< 10 days",good
lmisa67,"< 10 days",good
medisend,"< 10 days",good
mmmmkasper,"< 10 days",good
ccris,"> 50 days",good
iarspider,"< 10 days",good
noah6,"< 10 days",good
chrisesimpson,"< 10 days",bad
rammiranda,"< 10 days",bad
rauljpla,"< 10 days",good
J0r15,"< 10 days",good
carsonowen,"11 to 50 days",bad
BryceS,"> 50 days",bad
dr.zeugs,"< 10 days",bad
bkempton11,"< 10 days",bad
kenwigal,"< 10 days",NULL
mindtech,"< 10 days",good
jeansoule,"< 10 days",bad
mike3051,"< 10 days",good
wrktii5,"< 10 days",good
klgolddy211,"< 10 days",good
muckybizz,"< 10 days",good
wersde864,"< 10 days",neutral
lpsaphires,"< 10 days",good
paulescwt9,"< 10 days",good
WorldTraveler8,"< 10 days",good
flemkite,"< 10 days",good
agrwlchada,"< 10 days",good
goshmatturn2,"< 10 days",good
Ryan007,"< 10 days",good
vickie66077,"< 10 days",good
ericayahoo,"< 10 days",good
rony10,"< 10 days",good
paslaru,"< 10 days",good
joshmartin,"< 10 days",good
ranbir100,"< 10 days",good
alisha10,"< 10 days",good
johnsmith007,"< 10 days",good
shanewatson,"< 10 days",good
mariocelsi,"< 10 days",bad
chinkable,"11 to 50 days",good
ehsjoar,"< 10 days",bad
raymd,"< 10 days",NULL
yankee_77,"< 10 days",good
nick0608,"< 10 days",good
rahzel,"> 50 days",good
volco,"< 10 days",good
tclaffy,"< 10 days",bad
ook,"> 50 days",NULL
closetmonster,"< 10 days",bad
sbillard,"< 10 days",bad
zl,"< 10 days",NULL
nordluja,"< 10 days",good
BrianB39,"< 10 days",good
jez,"< 10 days",good
calgden,"< 10 days",good
cobra65,"< 10 days",bad
mustang123,"< 10 days",good
andpac,"< 10 days",good
dik188,"< 10 days",good
mayyah,"< 10 days",NULL
QuickGT,"< 10 days",good
Registrant,"< 10 days",good
caddyman,"< 10 days",NULL
Blackjet33,"< 10 days",good
dufourjen,"< 10 days",good
SimonB,"< 10 days",good
barbonneau,"< 10 days",good
kuiper,"< 10 days",good
eldindon,"< 10 days",good
hdebruyn,"< 10 days",good
rrental,"< 10 days",good
francis481,"< 10 days",good
wildyucca,"< 10 days",good
kleka,"< 10 days",good
meisterkool,"< 10 days",good
Brrr,"< 10 days",good
"mr death","< 10 days",good
hbolner,"< 10 days",good
ruiperdigao,"< 10 days",good
steinj2,"< 10 days",good
martiste,"< 10 days",good
djbob5,"< 10 days",good
will514,"< 10 days",good
projmtl,"> 50 days",good
anand84,"< 10 days",good
edespres,"< 10 days",NULL
Spezza_Fan,"< 10 days",good
pbpenguin,"< 10 days",good
sjaswal,"< 10 days",good
klexenmeister,"< 10 days",good
cathkoizumi,"< 10 days",good
mjewell123,"< 10 days",good
"Kevin I","< 10 days",good
pkadota,"< 10 days",good
kyk,"< 10 days",good
Chriskonig,"< 10 days",good
gaguy1,"< 10 days",good
sago1,"< 10 days",good
cancruiser,"< 10 days",good
rlyttle,"< 10 days",good
hamburg,"< 10 days",good
nhuestis,"< 10 days",good
gicamuci,"< 10 days",good
cdickey,"< 10 days",good
jwmf,"< 10 days",good
wtwild,"< 10 days",good
candoo1970,"< 10 days",good
retosinger,"< 10 days",good
amcgill,"< 10 days",good
bsolomon0,"< 10 days",good
hrtripp,"< 10 days",good
82MKII,"< 10 days",good
nissan300zx,"< 10 days",good
Scooter56,"< 10 days",good
ryansmom,"< 10 days",good
sniderman33,"< 10 days",good
gnork99,"< 10 days",good
lake2597,"< 10 days",good
fpar,"< 10 days",good
lguanti,"< 10 days",good
the5alexanders,"< 10 days",good
sebashubert,"< 10 days",NULL
Circa1990,"< 10 days",NULL
redwing780,"< 10 days",good
superbird,"< 10 days",bad
dfurtney,"< 10 days",good
DexX,"> 50 days",good
aslong80,"< 10 days",bad
gdn2,"> 50 days",good
budmanbr,"> 50 days",bad
1-live,"< 10 days",good
rosepetals,"< 10 days",good
Froogle2388,"> 50 days",good
nikodema,"< 10 days",NULL
wuoing,"< 10 days",good
regp,"< 10 days",good
CasWalker,"> 50 days",bad
idahohickk,"< 10 days",bad
jadecryingwolf,"< 10 days",bad
artist812,"< 10 days",good
hatebadservice,"< 10 days",bad
Vickycat,"< 10 days",bad
trex13,"< 10 days",bad
jenniferricks,"< 10 days",good
MicheleMichele,"< 10 days",bad
redmori,"> 50 days",good
ff-elec,"< 10 days",good
RJnovak,"< 10 days",bad
"One for the Frog","< 10 days",good
Maniputus,"> 50 days",bad
antiver,"< 10 days",bad
yyw3115,"< 10 days",bad
laggs84,"< 10 days",bad
jbeal8,"< 10 days",bad
calcityhotboy,"< 10 days",bad
pedecter,"< 10 days",bad
clown123,"< 10 days",bad
inkyslay,"< 10 days",bad
rdoty,"< 10 days",bad
cftuna,"> 50 days",bad
Bolderdash,"< 10 days",good
msivara,"< 10 days",bad
frostbitetwice,"> 50 days",good
place2route,"< 10 days",bad
robertd33,"< 10 days",bad
fsudave,"< 10 days",bad
gray2soon,"< 10 days",bad
rturnham,"> 50 days",bad
ppurus,"< 10 days",bad
NickVtx,"< 10 days",good
jrr7,"> 50 days",neutral
" ramrover","< 10 days",bad
comptiger5000,"< 10 days",bad
vjones205,"< 10 days",bad
JohnMc,"< 10 days",bad
Norski,"< 10 days",bad
efusillo,"< 10 days",bad
slickferret,"> 50 days",bad
Dinozee,"< 10 days",bad
TRUNDLE923,"< 10 days",bad
leroyp1937,"< 10 days",bad
pool_shark,"< 10 days",bad
kaley5,"< 10 days",bad
llarosa,"< 10 days",bad
Wozzy,"11 to 50 days",good
tinker_blinker,"< 10 days",good
"Lone Ranger","< 10 days",good
awheat2000,"> 50 days",good
posmanti,"< 10 days",bad
dmac67,"< 10 days",bad
rdwbreath,"> 50 days",good
e_ochoa,"< 10 days",bad
osolaris,"< 10 days",bad
paulcrash,"> 50 days",good
2yorkies1poodle,"< 10 days",good
GJCrawford,"< 10 days",bad
cisco991,"< 10 days",good
miziyuan,"> 50 days",bad
jpooh11,"> 50 days",good
jwalsh4203,"> 50 days",bad
parawheelz66,"< 10 days",bad
bevroger,"< 10 days",good
proseef,"< 10 days",good
susanshop,"< 10 days",bad
Gambletron,"< 10 days",good
gracelee,"< 10 days",good
elecktra,"< 10 days",good
JellyBeans,"< 10 days",good
mavismoon,"< 10 days",good
jennydives,"< 10 days",good
swano,"< 10 days",good
macmanmk,"< 10 days",good
usenet_user,"> 50 days",good
xmastaflex,"< 10 days",good
"Pat Perry","< 10 days",good
Indiana411,"< 10 days",good
greengiant79,"< 10 days",good
hillread,"> 50 days",good
malonesm,"< 10 days",good
Bon3thugz43v3r,"> 50 days",bad
thebiggiantkevin,"> 50 days",good
bigeasy043,"< 10 days",good
dcassidy36,"> 50 days",good
wilson.walker,"< 10 days",good
tommill33,"< 10 days",good
sam88,"< 10 days",bad
slawek00,"< 10 days",bad
codeblue1,"< 10 days",bad
DNIYM,"< 10 days",bad
Yozmax,"< 10 days",bad
ktown25,"< 10 days",bad
anguirel,"< 10 days",bad
"Doc Amp","< 10 days",bad
CALICHU22,"< 10 days",good
yelardawg,"< 10 days",bad
watchout,"< 10 days",bad
gbuzz,"< 10 days",bad
pxjones,"< 10 days",bad
f5rr,"< 10 days",bad
photodoc9,"< 10 days",bad
Vere,"< 10 days",bad
Fish-n,"< 10 days",bad
fpratt108,"< 10 days",bad
klaverstat,"< 10 days",bad
XoGArchAngelAGen,"< 10 days",good
rsdiamond,"< 10 days",NULL
m204dolan,"< 10 days",bad
honestuser5369,"< 10 days",bad
gmerrell,"< 10 days",bad
derek100,"< 10 days",bad
jenn_lynn,"< 10 days",bad
Twobar2,"11 to 50 days",bad
majykal,"< 10 days",NULL
herecomestreble,"< 10 days",bad
bkre8ive,"< 10 days",bad
Jodamo23,"< 10 days",bad
pacoplaya,"< 10 days",bad
NancyC,"< 10 days",bad
cholesterol,"11 to 50 days",good
123bear,"< 10 days",bad
sheali,"< 10 days",bad
crgillett,"< 10 days",bad
cgorelick,"< 10 days",bad
"Roger Ranger","< 10 days",bad
ecc199,"< 10 days",bad
jeffdayton,"< 10 days",bad
shutterbug123,"< 10 days",bad
RachelB,"< 10 days",bad
keithybaby,"< 10 days",bad
jmarkham,"< 10 days",bad
obieron,"< 10 days",bad
jat_00,"< 10 days",bad
mpfox,"< 10 days",bad
Cyborg99,"< 10 days",bad
logic_bugz,"< 10 days",bad
uxo22,"> 50 days",bad
AvisF16,"< 10 days",bad
clynn,"< 10 days",bad
sarita931,"< 10 days",neutral
wfrizzell,"< 10 days",bad
fkloskowski,"< 10 days",bad
suepia,"< 10 days",bad
cattledog,"< 10 days",good
fp1,"< 10 days",bad
nteract,"< 10 days",bad
metaratings,"< 10 days",bad
carma,"< 10 days",bad
698573649,"< 10 days",bad
SM2review,"< 10 days",bad
Virsa132,"< 10 days",bad
nhaarhoff,"< 10 days",bad
Photojenic36,"< 10 days",good
keithshoe,"< 10 days",bad
maggy,"< 10 days",bad
lovelylauren,"< 10 days",bad
nmccourt,"11 to 50 days",bad
"Bill Shadwick","< 10 days",bad
flagon,"> 50 days",bad
vintagelisa,"< 10 days",bad
partyof5,"< 10 days",bad
akmjcm,"< 10 days",bad
Hirigashi,"> 50 days",good
BigCheeZ,"> 50 days",good
tlippy,"> 50 days",good
Bill_A,"> 50 days",bad
lyndapdx,"< 10 days",bad
aluluei,"< 10 days",good
"Lazlo Panaflex","11 to 50 days",bad
bigcheeze,"> 50 days",good
crimneo,"> 50 days",good
knightc2,"> 50 days",bad
snphillip,"< 10 days",good
cadillakin,"> 50 days",good
"Good Companion","> 50 days",bad
alyosha45856,"> 50 days",good
phaserbrain,"< 10 days",good
llcoolbaby,"< 10 days",bad
Kristex,"< 10 days",bad
AAjax,"> 50 days",bad
feckman,"< 10 days",bad
Geri,"11 to 50 days",bad
kaitai99,"< 10 days",bad
fujiapple64,"< 10 days",bad
jasonja,"> 50 days",bad
ffkiller,"< 10 days",bad
"frequent shopper","< 10 days",bad
sfloto,"> 50 days",bad
Bhodi513,"> 50 days",bad
joeymoh,"< 10 days",bad
cuedude,"> 50 days",good
flyguym04,"< 10 days",good
demclaugh,"11 to 50 days",good
Jackolantern,"< 10 days",good
kochausoberkirch,"< 10 days",good
bfharris,"< 10 days",good
tkerc,"< 10 days",bad
MadDad,"< 10 days",bad
trw,"< 10 days",good
geneteka,"< 10 days",good
Mikki72,"< 10 days",good
sun818,"> 50 days",good
WowWashington,"< 10 days",bad
KBAUMAN101,"> 50 days",bad
brainpup,"> 50 days",bad
Nasher1952,"< 10 days",bad
JasperLakeCO74,"< 10 days",bad
13deals-sucks,"< 10 days",bad
jaimin21,"< 10 days",bad
chamov,"< 10 days",bad
Krakn3Dfx,"> 50 days",bad
tainscough,"> 50 days",bad
ankushkumar,"< 10 days",neutral
phunkyg,"> 50 days",NULL
dakota80,"< 10 days",good
jolee,"< 10 days",bad
Normcl,"> 50 days",good
Jimbo99,"< 10 days",bad
rlesieur,"< 10 days",bad
drebin123,"< 10 days",good
nemo18,"< 10 days",good
davidbarry,"< 10 days",good
matrixnet,"< 10 days",good
shaow,"< 10 days",good
ken3251,"< 10 days",good
Ruby,"< 10 days",good
"C. Don Mitchell","< 10 days",good
-Kasper-,"11 to 50 days",good
Bluedog_40,"> 50 days",good
jholdren,"> 50 days",good
DDrummey,"< 10 days",good
barl0w,"> 50 days",bad
crosell,"< 10 days",good
JurgenE,"11 to 50 days",good
tesebas,"> 50 days",good
yellowdog1,"> 50 days",good
over,"> 50 days",good
jmsems,"< 10 days",good
naturalturn,"> 50 days",good
Video_Bill,"> 50 days",bad
rr2009,"11 to 50 days",good
captainmarvel,"> 50 days",neutral
w4rmk,"< 10 days",good
calvin_gsc,"> 50 days",good
rmloan,"11 to 50 days",good
wooky,"< 10 days",bad
jacena,"> 50 days",good
SMJ,"< 10 days",good
pano53,"< 10 days",good
fuzzywoowoo,"< 10 days",good
amrvera,"< 10 days",good
glw40,"< 10 days",good
Abclar,"< 10 days",good
pete.cam,"< 10 days",good
ron1369,"< 10 days",good
GAplk,"< 10 days",good
alhjc6,"< 10 days",good
by007,"> 50 days",good
dlvardaman,"< 10 days",good
agentlb,"< 10 days",good
seanod22,"< 10 days",good
redson,"> 50 days",good
petrapan,"> 50 days",good
geno851,"< 10 days",good
bblount,"< 10 days",good
kimh2,"< 10 days",good
NubsNob,"< 10 days",good
R1ceRocket,"< 10 days",good
minhimum,"< 10 days",good
"Richard Lahm","< 10 days",good
CarolineT,"< 10 days",good
kkovak,"> 50 days",bad
kittykattab,"< 10 days",good
westlight,"< 10 days",good
cwat212,"> 50 days",good
capitolason2,"< 10 days",good
rovowen,"< 10 days",good
PastorCat,"< 10 days",good
JRB,"> 50 days",good
xflower,"< 10 days",good
brianminshew,"< 10 days",good
richinnj,"> 50 days",good
rcorn79135,"> 50 days",good
ho72,"> 50 days",good
jadephotography,"< 10 days",good
Pneumatic,"< 10 days",good
Tncamp,"< 10 days",good
bntamazon,"< 10 days",good
spo555,"< 10 days",good
intophoto,"< 10 days",good
Grizzly24,"< 10 days",good
ttryi,"< 10 days",good
rmy,"< 10 days",good
Dougmeister,"< 10 days",good
ddull28625,"< 10 days",good
Tomziegler,"< 10 days",good
cmmcphail,"< 10 days",good
mountain-stream,"< 10 days",good
gthawkins,"< 10 days",good
mbutler91c,"< 10 days",good
David_S,"11 to 50 days",good
markaw3,"11 to 50 days",good
keblerelf11,"> 50 days",good
prheavy,"< 10 days",good
djtechen,"> 50 days",good
rostratus,"< 10 days",good
wendymg,"< 10 days",good
jmorganal,"> 50 days",good
hhchen,"< 10 days",good
daytontp,"< 10 days",good
sf94102,"< 10 days",good
Babyfixer,"< 10 days",good
Dandelyn32,"< 10 days",good
bongeo,"< 10 days",good
noahsark,"> 50 days",good
terbo1,"< 10 days",good
cc_math,"< 10 days",good
"bill h","11 to 50 days",good
jeaves,"> 50 days",good
josemelgarejo,"< 10 days",good
trangler,"> 50 days",good
giul59,"< 10 days",good
jlm_tx,"< 10 days",good
jasfrmn,"< 10 days",good
deanpb,"< 10 days",good
aaronw,"< 10 days",good
thalliii,"< 10 days",good
jamesp206,"< 10 days",good
Dougherg,"< 10 days",good
whitern,"< 10 days",good
DrJ,"< 10 days",good
lijianliu,"> 50 days",good
sstanzel,"< 10 days",good
crimebuster,"< 10 days",good
dl2hbx,"< 10 days",good
nwmangum,"< 10 days",good
Karls222,"< 10 days",good
austintsi,"< 10 days",good
ctn68600,"< 10 days",good
Chatzstuff,"< 10 days",good
gcfine,"< 10 days",good
NoGodForMe,"11 to 50 days",good
Accounted4,"> 50 days",good
ms31167,"< 10 days",good
2point8,"< 10 days",good
